date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:33	53743/53743	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:34%20GMT	http://clinalpsud.fr/comite-commissions/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:34	60114/60114	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:35%20GMT	http://clinalpsud.fr/comite-commissions/comite-hemovigilance/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/comite-hemovigilance/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:35	54419/54419	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:36%20GMT	http://clinalpsud.fr/comite-commissions/infectiovigilance/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/infectiovigilance/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:36	86081/86081	---M--	200	added ('OK')	image/jpeg	etag:%221240e49-15041-4d14c47ef8e86%22	http://clinalpsud.fr/wp-content/uploads/2012/12/03.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/03.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:37	54382/54382	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:38%20GMT	http://clinalpsud.fr/comite-commissions/infectiovigilance/maladies-nosocomiales/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/infectiovigilance/maladies-nosocomiales/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:38	53919/53919	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:39%20GMT	http://clinalpsud.fr/comite-commissions/infectiovigilance/anti-infectieux/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/infectiovigilance/anti-infectieux/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:39	54649/54649	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:41%20GMT	http://clinalpsud.fr/comite-commissions/c-l-u-d/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/comite-commissions/c-l-u-d/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:41	147858/147858	---M--	200	added ('OK')	image/jpeg	etag:%221240993-24192-4d14c40aa0500%22	http://clinalpsud.fr/wp-content/uploads/2012/12/06.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/06.jpg	(from )
09:39:42	26416/26416	---M--	200	added ('OK')	image/jpeg	etag:%221598314-6730-4d0bd2591e450%22	http://clinalpsud.fr/wp-content/uploads/2012/12/alpine.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/alpine.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:42	18129/18129	---M--	200	added ('OK')	image/jpeg	etag:%2215992ca-46d1-4d0bd295ded55%22	http://clinalpsud.fr/wp-content/uploads/2012/12/adrea.jpg	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/wp-content/uploads/2012/12/adrea.jpg	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:42	65679/65679	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:43%20GMT	http://clinalpsud.fr/hospitalisation-a-domicile/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/hospitalisation-a-domicile/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
09:39:44	61550/61550	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Jun%202013%2007:39:45%20GMT	http://clinalpsud.fr/lhomme-en-mouvement/	C:/Mes%20Sites%20Web/RecupPoly/clinalpsud.fr/lhomme-en-mouvement/index.html	(from http://clinalpsud.fr/?>postfile:C:\Mes%20Sites%20Web\RecupPoly\hts-post0)
